 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Solens kærtegn har sluppet de sarte blade ud af deres skjul, og midt i det hele gemmer løfterne om kommende blomster sig.
1-1	Solens	B-noun.object|B-noun.artifact|B-noun.phenomenon|B-noun.substance	sol	NC:sdgc:--:----	
1-2	kærtegn	O	kærtegn	NC:siun:--:----	
1-3	har	B-verb.perception|B-verb.communication|B-verb.phenomenon|B-verb.act|B-verb.cognition|B-rb.TOP	have	VF:----:sa:----	
1-4	sluppet	B-verb.motion|B-verb.possession|B-verb.act|B-verb.phenomenon	slippe	VT:siu#:t-:----	
1-5	de	O	den	PM:p-u#:--:----	
1-6	sarte	B-adj.all	sart	AC:p#u#:--:p---	
1-7	blade	B-noun.communication|B-noun.person|B-noun.artifact|B-noun.institution|B-noun.plant	blad	NC:piu#:--:----	
1-8	ud	O	ud	D-:----:--:u---	
1-9	af	O	af	T-:----:--:----	
1-10	deres	O	deres	PO:#--#:--:-3np	
1-11	skjul	B-noun.location	skjul	NC:piu#:--:----	
1-12	,	O	,	ZD	
1-13	og	O	og	CC:----:--:----	
1-14	midt	O	midt	D-:----:--:u---	
1-15	i	O	i	T-:----:--:----	
1-16	det	O	den	PM:s-un:--:----	
1-17	hele	B-adj.phys	hel	AC:sdu#:--:p---	
1-18	gemmer	B-verb.motion	gemme	VF:----:sa:----	
1-19	løfterne	B-noun.act	løfte	NC:pdu#:--:----	
1-20	om	O	om	T-:----:--:----	
1-21	kommende	B-verb.social|B-verb.act|B-verb.communication|B-verb.motion	komme	VP:##u#:s-:----	
1-22	blomster	O	blomster	XY:----:--:----	
1-23	sig	O	sig	PP:#-u#:--:-3y-	
1-24	.	O	.	ZP	

#id=2
#text=En af dem, hvor vi kom ud at gå aftentur.
2-1	En	O	en	PI:s-uc:--:----	
2-2	af	O	af	T-:----:--:----	
2-3	dem	O	de	PP:p-u#:--:-3n-	
2-4	,	O	,	ZD	
2-5	hvor	O	hvor	D-:----:--:u---	
2-6	vi	O	vi	PP:p-nc:--:-1n-	
2-7	kom	B-ocial|B-verb.act|B-verb.communication|B-verb.motion	komme	VF:----:ta:----	
2-8	ud	O	ud	D-:----:--:u---	
2-9	at	O	at	UI:----:--:----	
2-10	gå	B-verb.change|B-verb.act|B-verb.motion|B-verb.stative	gå	VI:----:-a:----	
2-11	aftentur	B-noun.act	aftentur	NC:siuc:--:----	
2-12	.	O	.	ZP	

#id=3
