 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Idag bor de i udkanten af Silkeborg, men Thomas Mygind er ofte i hovedstaden, hvor han har sit job.
1-1	I	O	
1-2	dag	B-noun.time	
1-3	bor	B-verb.stative	
1-4	de	O	
1-5	i	O	
1-6	udkanten	B-noun.location	
1-7	af	O	
1-8	Silkeborg	B-noun.location	
1-9	,	O	
1-10	men	O	
1-11	Thomas	O	
1-12	Mygind	O	
1-13	er	B-verb.stative	
1-14	ofte	O	
1-15	i	O	
1-16	hovedstaden	B-noun.location	
1-17	,	O	
1-18	hvor	O	
1-19	han	O	
1-20	har	B-verb.possession	
1-21	sit	O	
1-22	job	B-noun.act	
1-23	.	O	

#id=2
#text=Karrieren går det heller ikke fantastisk med.
2-1	Karrieren	O	
2-2	går	O	
2-3	det	O	
2-4	heller	O	
2-5	ikke	O	
2-6	fantastisk	O	
2-7	med	O	
2-8	.	O	

#id=3
#text=På det fyldte dansegulv beviste Patrik Wozniacki, at han skam har lært noget af sin deltagelse i " Vild med dans" i efteråret.
3-1	På	O	
3-2	det	O	
3-3	fyldte	O	
3-4	dansegulv	O	
3-5	beviste	O	
3-6	Patrik	O	
3-7	Wozniacki	O	
3-8	,	O	
3-9	at	O	
3-10	han	O	
3-11	skam	O	
3-12	har	O	
3-13	lært	O	
3-14	noget	O	
3-15	af	O	
3-16	sin	O	
3-17	deltagelse	O	
3-18	i	O	
3-19	"	O	
3-20	Vild	O	
3-21	med	O	
3-22	dans	O	
3-23	"	O	
3-24	i	O	
3-25	efteråret	O	
3-26	.	O	

#id=4
#text=Denblomstrende forelskelse fik en brat ende, da de brød med hinanden i februar efter et halvt års kissemissen.
4-1	Den	O	
4-2	blomstrende	O	
4-3	forelskelse	O	
4-4	fik	O	
4-5	en	O	
4-6	brat	O	
4-7	ende	O	
4-8	,	O	
4-9	da	O	
4-10	de	O	
4-11	brød	O	
4-12	med	O	
4-13	hinanden	O	
4-14	i	O	
4-15	februar	O	
4-16	efter	O	
4-17	et	O	
4-18	halvt	O	
4-19	års	O	
4-20	kissemissen	O	
4-21	.	O	

#id=5
#text=ForCaroline er ganske enkelt blevet produktets nye ansigt.
5-1	For	O	
5-2	Caroline	O	
5-3	er	O	
5-4	ganske	O	
5-5	enkelt	O	
5-6	blevet	O	
5-7	produktets	O	
5-8	nye	O	
5-9	ansigt	O	
5-10	.	O	

#id=6
#text=-supersprød sangstjerne, er blevet mor.
6-1	-	O	
6-2	supersprød	O	
6-3	sangstjerne	O	
6-4	,	O	
6-5	er	O	
6-6	blevet	O	
6-7	mor	O	
6-8	.	O	

#id=7
#text=Og ifølge Kitten er det helt ufarligt for Kisses.
7-1	Og	O	
7-2	ifølge	O	
7-3	Kitten	O	
7-4	er	O	
7-5	det	O	
7-6	helt	O	
7-7	ufarligt	O	
7-8	for	O	
7-9	Kisses	O	
7-10	.	O	

#id=8
#text=-storsmilende fartdjævel, har fået lov til at skrive forord til racerkammeraten Jan Magnussens nye bog " En fiaskos perfekte liv", som de begge præsenterede forleden.
8-1	-	O	
8-2	storsmilende	O	
8-3	fartdjævel	O	
8-4	,	O	
8-5	har	O	
8-6	fået	O	
8-7	lov	O	
8-8	til	O	
8-9	at	O	
8-10	skrive	O	
8-11	forord	O	
8-12	til	O	
8-13	racerkammeraten	O	
8-14	Jan	O	
8-15	Magnussens	O	
8-16	nye	O	
8-17	bog	O	
8-18	"	O	
8-19	En	O	
8-20	fiaskos	O	
8-21	perfekte	O	
8-22	liv	O	
8-23	"	O	
8-24	,	O	
8-25	som	O	
8-26	de	O	
8-27	begge	O	
8-28	præsenterede	O	
8-29	forleden	O	
8-30	.	O	

#id=9
#text=Selvom det var blevet mørkt i hovedstaden, var det iført store solbriller, at hun gik ind på scenen og fyrede to numre af fra sit nye, engelsksprogede album.
9-1	Selv	O	
9-2	om	O	
9-3	det	O	
9-4	var	O	
9-5	blevet	O	
9-6	mørkt	O	
9-7	i	O	
9-8	hovedstaden	O	
9-9	,	O	
9-10	var	O	
9-11	det	O	
9-12	iført	O	
9-13	store	O	
9-14	solbriller	O	
9-15	,	O	
9-16	at	O	
9-17	hun	O	
9-18	gik	O	
9-19	ind	O	
9-20	på	O	
9-21	scenen	O	
9-22	og	O	
9-23	fyrede	O	
9-24	to	O	
9-25	numre	O	
9-26	af	O	
9-27	fra	O	
9-28	sit	O	
9-29	nye	O	
9-30	,	O	
9-31	engelsksprogede	O	
9-32	album	O	
9-33	.	O	

#id=10
#text=Midtpå dagen runder hun og familien dog lige Køben-København for at vinke fra balkonen på Amalienborg klokken 12 og havn spise frokost på Rådhuset.
10-1	Midt	O	
10-2	på	O	
10-3	dagen	O	
10-4	runder	O	
10-5	hun	O	
10-6	og	O	
10-7	familien	O	
10-8	dog	O	
10-9	lige	O	
10-10	Køben	O	
10-11	-	O	
10-12	København	O	
10-13	for	O	
10-14	at	O	
10-15	vinke	O	
10-16	fra	O	
10-17	balkonen	O	
10-18	på	O	
10-19	Amalienborg	O	
10-20	klokken	O	
10-21	12	O	
10-22	og	O	
10-23	havn	O	
10-24	spise	O	
10-25	frokost	O	
10-26	på	O	
10-27	Rådhuset	O	
10-28	.	O	

#id=11
#text=Bevæbnetmed frisørfarver, kulørt kunstnerkalk og spraydåser omdanner den amerikanske kvinde jævnligt sit kæledyr til omvandrende eksplosioner af kolorit, og hendes lidenskab har indtjent hende mængder af præmier, for naturligvis findes der mesterskaber for folk, som farver dyr, og i den forhåbentlig snævre kreds er Sandy Hartness en legende på to ben.
11-1	Bevæbnet	O	
11-2	med	O	
11-3	frisørfarver	O	
11-4	,	O	
11-5	kulørt	O	
11-6	kunstnerkalk	O	
11-7	og	O	
11-8	spraydåser	O	
11-9	omdanner	O	
11-10	den	O	
11-11	amerikanske	O	
11-12	kvinde	O	
11-13	jævnligt	O	
11-14	sit	O	
11-15	kæledyr	O	
11-16	til	O	
11-17	omvandrende	O	
11-18	eksplosioner	O	
11-19	af	O	
11-20	kolorit	O	
11-21	,	O	
11-22	og	O	
11-23	hendes	O	
11-24	lidenskab	O	
11-25	har	O	
11-26	indtjent	O	
11-27	hende	O	
11-28	mængder	O	
11-29	af	O	
11-30	præmier	O	
11-31	,	O	
11-32	for	O	
11-33	naturligvis	O	
11-34	findes	O	
11-35	der	O	
11-36	mesterskaber	O	
11-37	for	O	
11-38	folk	O	
11-39	,	O	
11-40	som	O	
11-41	farver	O	
11-42	dyr	O	
11-43	,	O	
11-44	og	O	
11-45	i	O	
11-46	den	O	
11-47	forhåbentlig	O	
11-48	snævre	O	
11-49	kreds	O	
11-50	er	O	
11-51	Sandy	O	
11-52	Hartness	O	
11-53	en	O	
11-54	legende	O	
11-55	på	O	
11-56	to	O	
11-57	ben	O	
11-58	.	O	

#id=12
#text=-køn DR-journalist og tidligere vinder af " Popstars" ser stadig de tre andre piger fra EyeQ.
12-1	-	O	
12-2	køn	O	
12-3	DR	O	
12-4	-	O	
12-5	journalist	O	
12-6	og	O	
12-7	tidligere	O	
12-8	vinder	O	
12-9	af	O	
12-10	"	O	
12-11	Popstars	O	
12-12	"	O	
12-13	ser	O	
12-14	stadig	O	
12-15	de	O	
12-16	tre	O	
12-17	andre	O	
12-18	piger	O	
12-19	fra	O	
12-20	EyeQ	O	
12-21	.	O	

#id=13
#text=Drømmen er at blive model eller basketballspiller
13-1	Drømmen	O	
13-2	er	O	
13-3	at	O	
13-4	blive	O	
13-5	model	O	
13-6	eller	O	
13-7	basketballspiller	O	

#id=14
#text=Det samme var den ældste Asbæk-søn Martin, som var omgivet af feststemte unge piger i meget lidt tøj.
14-1	Det	O	
14-2	samme	O	
14-3	var	O	
14-4	den	O	
14-5	ældste	O	
