 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Det har jeg læst... troede bare der var en ny grund til det måske...
1-1	Det	det	PP:s-un:--:-3n-	O	
1-2	har	have	VF:----:sa:----	B-verb.perception|B-verb.phenomenon|B-verb.act|B-verb.communication|B-verb.cognition|B-verb.TOP	
1-3	jeg	jeg	PP:s-nc:--:-1n-	O	
1-4	læst	læse	VT:siu#:t-:----	B-verb.cognition	
1-5	.	.	ZP	O	
1-6	.	.	ZP	O	
1-7	.	.	ZP	O	
1-8	troede	tro	VF:----:ta:----	B-verb.cognition|B-verb.emotion	
1-9	bare	bare	D-:----:--:u---	O	
1-10	der	der	US:----:--:----	O	
1-11	var	være	VF:----:ta:----	B-verb.TOP|B-verb.social|B-verb.stative	
1-12	en	en	PI:s-uc:--:----	O	
1-13	ny	ny	AC:siuc:--:p---	B-adj.time	
1-14	grund	grund	NC:siuc:--:----	B-noun.object|B-noun.location|B-noun.act	
1-15	til	til	T-:----:--:----	O	
1-16	det	det	PP:s-un:--:-3n-	O	
1-17	måske	måske	D-:----:--:u---	O	
1-18	.	.	ZP	O	
1-19	.	.	ZP	O	
1-20	.	.	ZP	O	

#id=2
#text=VIhar hørt selvsamme rygte, men intet er bekræftet, så slå koldt vand i blodet!
2-1	VI	vi	PP:p-nc:--:-1n-	O	
2-2	har	have	VF:----:sa:----	B-verb.perception|B-verb.cognition|B-verb.act|B-verb.communication|B-verb.phenomenon|B-verb.TOP	
2-3	hørt	høre	VT:siu#:t-:----	B-verb.phenomenon	
2-4	selvsamme	selvsamme	AC:§§u§:--:p---	O	
2-5	rygte	rygte	NC:siun:--:----	B-noun.communication|B-noun.phenomenon	
2-6	,	,	ZD	O	
2-7	men	men	CC:----:--:----	O	
2-8	intet	ingen	PI:s-un:--:----	O	
2-9	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
2-10	bekræftet	bekræfte	VT:siu#:t-:----	B-verb.communication	
2-11	,	,	ZD	O	
2-12	så	så	D-:----:--:u---	O	
2-13	slå	slå	VI:----:-a:----	B-verb.motion|B-verb.social|B-verb.act|B-verb.creation|B-verb.phenomenon	
2-14	koldt	kold	p---	B-adj.social|B-adj.mental|B-adj.phys	
2-15	vand	vand	NC:siun:--:----	B-noun.location|B-noun.container|B-noun.substance|B-noun.artifact	
2-16	i	i	T-:----:--:----	O	
2-17	blodet	blod	NC:sdun:--:----	B-noun.feeling|B-noun.substance	
2-18	!	!	ZP	O	

#id=3
#text=Hehe...Good One
3-1	Hehe	Hehe	NP:siu#:--:----	O	
3-2	.	.	ZP	O	
3-3	.	.	ZP	O	
3-4	.	.	ZP	O	
3-5	Good	good	XF:----:--:----	O	
3-6	One	One	XF:----:--:----	O	

#id=4
#text=:D:D YAAAAH!!! :D :D Juleaften!!
4-1	:	:	LC:--u-:--:----	O	
4-2	D	d	NP:siu#:--:----	B-noun.communication|B-noun.phenomenon	
4-3	:	:	ZP	O	
4-4	D	d	NP:siu#:--:----	B-noun.communication|B-noun.phenomenon	
4-5	YAAAAH	YAAAAH	NP:siu#:--:----	O	
4-6	!	!	ZP	O	
4-7	!	!	ZP	O	
4-8	!	!	ZP	O	
4-9	:	:	ZP	O	
4-10	D	d	NP:siu#:--:----	B-noun.communication|B-noun.phenomenon	
4-11	:	:	ZP	O	
4-12	D	D	PM:s-uc:--:----	O	
4-13	Juleaften	juleaften	NC:siuc:--:----	B-noun.time	
4-14	!	!	ZP	O	
4-15	!	!	ZP	O	

#id=5
#text=Kunne godt tænke mig at de speedede udgivelsensdatoen lidt  op.
5-1	Kunne	kunne	VF:----:ta:----	O	
5-2	godt	god	AD:----:--:p---	B-adj.all	
5-3	tænke	tænke	VI:----:-a:----	B-verb.cognition|B-verb.act	
5-4	mig	mig	NC:siun:--:----	O	
5-5	at	at	CS:----:--:----	O	
5-6	de	de	PP:p-n#:--:-3n-	O	
5-7	speedede	speede	VF:----:ta:----	O	
5-8	udgivelsensdatoen	udgivelsensdato	NC:sduc:--:----	O	
5-9	lidt	lidt	AD:----:--:p---	O	
5-10	op	op	D-:----:--:u---	O	
5-11	.	.	ZP	O	

#id=6
#text=Hikaru no go-YUYU Hakusho-Gundam Wing-Slayers-Hellsing-Trigun-Hack!
6-1	Hikaru	Hikaru	XY:----:--:----	O	
6-2	no	no	XY:----:--:----	O	
6-3	go	go	XY:----:--:----	O	
6-4	-	-	XY:----:--:----	O	
6-5	YUYU	YUYU	XY:----:--:----	O	
6-6	Hakusho	Hakusho	XY:----:--:----	O	
6-7	-	-	XY:----:--:----	O	
6-8	Gundam	Gundam	XY:----:--:----	O	
6-9	Wing	Wing	XY:----:--:----	O	
6-10	-	-	XY:----:--:----	O	
6-11	Slayers	Slayers	AC:##g#:--:c---	O	
6-12	-	-	XY:----:--:----	O	
6-13	Hellsing	Hellsing	XY:----:--:----	O	
6-14	-	-	XY:----:--:----	O	
6-15	Trigun	Trigun	XY:----:--:----	O	
6-16	-	-	XY:----:--:----	O	
